elkar;P0A;lurral;P01;P02;EDAD;P0B;tmuni;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P1401;P1402;P1403;P1404;P1405;P1501;P1502;P1503;P1504;P16;P17;P18;P19;P2001;P2002;P21;P22;P23;P24;P25;P2601;P2602;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P4601;P4602;P4603;P47;P48;P49;P50;wt
1;3;1;1;55;3;1036;2;1;2;3;1;1;4;2;2;1;2;10;1;1;2;2;2;10;10;10;10;5;5;4;4;4;2;1;1;4;1;4;2;2;4;4;1;2;1;3;3;1;1;2;1;1;3;1;1;4;3;1;0;1;1;1;5;3;1;1;,638218384676923
2;3;1;2;67;4;1036;2;5;4;4;1;1;4;3;1;1;2;10;3;2;2;2;3;10;10;10;8;10;4;5;10;3;3;3;1;2;1;5;3;1;3;12;4;12;7;6;1;1;1;4;3;1;5;1;2;3;3;1;1;1;1;1;5;3;2;2;,638218384676923
3;3;1;2;35;2;1059;3;2;4;4;2;1;2;3;1;3;3;9;2;1;3;1;3;9;10;10;10;7;4;4;6;3;4;3;2;1;1;9;2;2;3;12;4;12;7;6;3;1;1;2;1;1;1;3;1;3;4;1;9;4;1;1;8;1;2;2;,638218384676923
4;3;1;1;48;3;1036;1;1;5;3;1;2;2;2;1;1;1;10;3;2;2;2;4;10;10;10;10;10;2;1;10;1;2;2;1;3;1;10;1;3;1;6;1;10;5;4;1;1;1;2;1;1;1;3;1;3;3;2;10;1;2;2;2;1;1;2;,638218384676923
5;3;1;1;48;3;1059;3;1;5;2;2;1;1;2;2;1;2;10;1;1;1;1;2;8;8;5;2;5;2;1;7;3;2;3;2;2;1;8;2;1;3;8;1;9;2;1;5;1;2;1;2;2;1;1;1;5;2;2;4;1;4;2;8;3;1;2;,638218384676923
6;3;1;1;87;4;1059;3;5;3;5;4;3;4;2;1;1;2;6;1;4;1;2;2;9;2;8;6;5;4;2;7;2;2;2;2;1;2;7;2;2;4;12;4;12;7;6;1;1;1;3;1;1;5;3;1;3;4;1;1;3;1;1;3;2;1;2;,638218384676923
7;3;1;1;58;3;1059;3;1;5;3;2;2;1;2;1;1;2;9;1;2;3;2;2;6;7;8;8;6;2;2;6;2;3;2;2;2;1;8;3;2;2;7;1;7;1;2;4;1;3;3;1;2;1;3;2;4;3;1;5;3;2;1;8;2;1;2;,638218384676923
8;3;1;1;69;4;1059;3;5;4;2;2;2;1;2;2;2;1;9;3;1;2;2;4;6;10;10;10;10;1;2;8;2;2;2;2;1;1;8;4;1;1;12;4;12;7;6;5;2;1;3;2;1;5;1;2;3;3;2;5;1;1;1;5;2;1;2;,638218384676923
9;3;1;2;40;2;1059;3;1;5;2;2;2;1;3;1;1;2;9;1;1;3;3;4;10;10;10;10;10;2;2;7;3;3;4;2;3;2;8;4;2;2;8;1;7;3;2;4;1;1;3;2;2;3;8;2;4;3;2;5;2;3;3;1;3;2;2;,638218384676923
10;3;1;1;77;4;1059;3;5;5;2;2;1;2;2;1;1;2;8;1;1;2;2;3;7;7;7;8;8;2;2;8;2;2;1;2;1;1;8;4;3;1;12;4;12;7;6;2;1;2;2;2;2;5;1;1;4;3;1;9;2;2;2;1;2;1;2;,638218384676923
11;3;1;2;57;3;1059;3;6;5;5;4;1;4;5;1;5;5;10;1;1;1;2;3;10;10;10;11;0;5;5;0;4;5;1;1;4;1;10;3;1;4;12;4;12;7;6;6;5;6;3;1;3;6;1;1;5;4;2;11;1;2;1;5;3;2;2;,638218384676923
12;3;1;2;58;3;1059;3;1;2;4;3;1;2;2;1;1;2;8;1;1;2;3;2;10;10;10;10;7;4;2;7;2;2;1;1;2;1;8;3;1;2;6;1;8;4;1;4;1;1;2;2;1;3;5;1;7;3;2;9;2;2;1;1;2;2;2;,638218384676923
13;1;1;2;37;2;1059;3;1;1;5;1;2;1;2;1;1;2;8;1;1;3;1;1;10;10;11;11;7;2;1;7;2;3;1;1;3;1;8;3;2;2;9;1;4;2;4;4;5;1;1;2;4;5;3;3;5;2;2;6;4;3;3;2;2;1;3;,638218384676923
14;3;1;2;39;2;1059;3;1;2;5;2;1;2;2;1;1;2;10;3;2;3;2;2;10;10;10;10;8;3;2;8;2;2;1;1;1;1;9;4;1;2;8;1;8;3;1;5;2;3;1;2;2;4;1;1;4;3;1;8;1;2;2;1;2;2;2;,638218384676923
15;3;1;1;63;3;1059;3;5;4;2;1;1;1;2;1;1;2;8;1;2;3;2;2;7;5;6;7;10;3;2;6;2;2;3;3;2;1;8;4;2;2;12;4;12;7;6;5;1;1;3;1;2;2;3;1;4;3;2;6;1;1;1;5;3;1;2;,638218384676923
16;3;1;2;71;4;1059;3;5;4;2;3;2;1;2;1;3;3;8;1;2;2;2;3;7;9;11;10;10;4;3;9;3;5;1;1;3;2;6;3;5;3;12;4;12;7;6;1;1;1;3;1;3;1;6;1;3;2;2;8;2;2;2;5;2;2;2;,638218384676923
17;3;1;2;63;3;1059;3;1;4;4;1;2;1;1;1;1;2;8;1;1;2;2;1;8;8;7;7;8;2;2;7;2;1;1;1;1;1;8;4;1;2;8;1;8;5;1;5;1;2;3;1;1;1;3;1;4;3;1;7;1;1;1;1;3;2;2;,638218384676923
18;3;1;2;52;3;1059;3;1;4;2;1;3;4;2;1;2;2;10;4;1;3;2;4;5;10;8;5;8;3;2;8;1;1;2;1;3;1;10;4;1;2;10;1;10;5;1;3;1;3;3;2;4;1;3;1;4;2;2;0;2;1;1;1;3;2;2;,638218384676923
19;3;1;2;51;3;1059;3;1;5;4;1;1;1;2;1;1;1;10;1;1;2;2;2;10;10;10;10;10;2;2;10;3;2;3;1;2;1;10;4;3;2;10;1;10;3;2;1;1;3;3;1;1;2;3;1;3;3;2;10;2;2;3;8;3;3;2;,638218384676923
20;3;1;1;61;3;1059;3;2;5;3;3;2;1;2;1;1;2;8;1;1;3;2;4;8;8;10;9;8;2;2;8;2;2;2;2;2;2;8;4;3;2;12;4;12;7;6;1;1;2;3;1;2;1;6;1;5;4;1;7;1;1;2;2;2;1;2;,638218384676923
21;3;1;1;38;2;1059;3;1;4;3;2;1;2;2;1;1;3;10;1;1;3;1;1;10;10;11;5;7;3;2;7;3;3;4;1;4;1;7;2;1;1;7;1;5;2;1;5;5;1;3;1;2;5;3;3;6;2;3;7;1;3;2;7;2;1;4;,638218384676923
22;3;1;2;51;3;1059;3;1;5;3;1;3;2;2;1;2;1;7;1;1;3;2;4;10;10;0;0;7;4;2;10;2;2;2;1;3;1;10;3;1;2;8;2;10;2;4;5;2;1;2;2;3;2;3;2;3;1;2;7;2;3;2;1;2;2;2;,638218384676923
23;3;1;2;28;1;1059;3;1;4;4;4;1;1;3;1;3;1;10;2;1;3;2;2;10;4;7;7;8;3;4;8;1;1;2;1;3;1;8;3;1;1;0;2;7;3;4;1;5;2;2;2;1;2;6;1;5;3;1;0;1;2;1;7;2;2;2;,638218384676923
24;3;1;2;42;2;999;1;1;5;3;3;2;2;2;3;1;2;8;2;2;3;2;4;8;9;7;9;8;2;2;8;2;2;2;2;2;1;8;3;2;2;8;1;7;3;2;2;2;2;2;2;1;2;3;2;5;3;1;8;1;2;1;7;3;2;2;,638218384676923
25;3;1;2;37;2;1059;3;1;2;5;5;1;1;2;1;1;2;10;2;2;3;2;2;7;10;10;10;6;4;2;7;2;3;3;2;3;1;6;2;3;3;7;1;8;5;1;5;1;2;3;1;1;3;1;1;4;3;2;6;2;2;1;1;3;2;3;,638218384676923
26;3;1;1;48;3;1059;3;1;3;4;1;1;1;2;1;1;1;6;1;1;1;1;3;6;10;1;3;10;2;1;10;1;1;2;1;1;2;8;4;1;4;8;1;9;5;1;5;5;5;1;2;3;5;5;3;3;2;3;2;2;2;2;8;2;1;2;,638218384676923
27;3;1;2;35;2;1059;3;1;2;5;2;2;2;2;1;1;2;9;2;2;2;3;2;9;10;10;10;5;2;2;8;3;2;2;1;3;1;8;3;2;2;7;1;4;3;1;2;1;2;3;1;1;3;1;2;3;4;1;7;2;1;1;1;2;2;3;,638218384676923
28;3;1;1;48;3;1059;3;1;5;3;1;1;3;2;1;3;1;10;1;2;2;2;2;10;1;3;1;10;4;2;8;3;3;2;2;1;1;8;4;2;2;3;1;9;5;1;5;1;1;3;1;2;4;6;1;4;4;2;7;4;4;2;1;3;1;2;,638218384676923
29;3;1;1;53;3;1059;3;1;4;3;1;1;1;1;1;4;2;10;1;1;3;3;2;9;10;10;10;8;2;2;9;2;2;2;1;1;1;10;4;1;2;10;1;10;4;1;2;1;4;2;1;1;2;1;1;4;2;1;10;1;1;1;8;2;1;2;,638218384676923
30;3;1;2;67;4;1002;2;5;2;5;3;2;2;3;1;1;2;8;1;1;2;2;1;8;9;9;9;10;2;2;8;2;2;1;1;1;1;8;4;2;2;12;4;12;7;6;1;1;1;3;1;1;2;1;1;3;1;1;8;1;1;2;2;3;2;2;,638218384676923
31;3;1;1;55;3;1059;3;1;4;2;1;2;4;3;1;3;3;5;4;2;2;2;2;9;10;10;4;4;2;2;7;4;3;1;2;1;2;8;4;2;2;5;2;8;3;3;1;1;1;3;2;1;1;3;2;3;2;2;8;2;3;2;1;3;1;2;,638218384676923
32;3;1;1;74;4;1059;3;5;4;2;3;2;2;3;1;3;2;10;1;1;2;2;4;9;9;9;9;6;3;2;5;3;3;2;2;2;1;7;3;3;3;12;4;12;7;6;2;2;2;2;2;2;3;6;2;3;3;2;8;2;2;2;5;2;1;2;,638218384676923
33;3;1;2;70;4;1059;3;5;3;2;2;2;2;2;3;1;2;9;1;1;2;2;3;10;10;10;10;8;2;2;8;2;2;1;1;1;1;10;4;1;2;12;4;12;7;6;1;1;1;3;2;1;2;3;1;4;3;2;8;1;1;1;4;2;2;2;,638218384676923
34;3;1;2;85;4;1059;3;5;5;1;5;2;4;3;2;1;1;9;1;1;2;2;3;7;5;5;5;9;3;4;6;3;2;2;2;2;1;10;3;1;1;12;4;12;7;6;5;1;5;1;2;3;5;7;1;4;2;2;3;1;2;2;5;4;2;2;,638218384676923
35;3;1;1;50;3;1059;3;1;4;5;2;1;2;2;1;3;3;6;4;3;3;2;2;10;10;10;10;7;3;2;7;1;2;1;1;1;1;9;4;1;2;8;1;8;3;1;1;2;2;2;1;1;4;1;2;3;3;1;8;1;2;2;1;1;1;2;,638218384676923
36;3;1;2;66;4;1059;3;5;5;2;5;2;1;5;1;3;4;9;4;4;2;2;3;0;0;0;0;9;2;2;8;2;3;5;4;3;1;9;1;1;2;12;4;12;7;6;4;1;1;3;2;3;1;3;3;3;1;2;9;1;2;2;5;2;2;2;,638218384676923
37;3;1;1;59;3;1059;3;1;4;4;2;2;1;2;2;1;2;8;1;1;2;2;3;8;9;8;9;8;2;2;8;2;2;2;2;2;1;8;4;1;2;9;1;8;4;1;2;2;2;2;1;1;3;1;2;3;3;1;8;1;2;2;1;1;1;2;,638218384676923
38;3;1;2;72;4;1036;2;5;4;3;2;2;4;3;1;2;1;10;1;1;1;4;1;0;10;10;10;10;3;3;8;3;3;1;2;2;1;8;3;1;1;12;4;12;7;6;2;1;1;3;2;1;1;1;2;3;3;2;0;1;1;2;5;3;2;2;,638218384676923
39;3;1;2;49;3;1059;3;1;3;5;1;1;2;2;1;1;2;10;1;1;2;2;2;9;10;9;5;8;2;2;9;2;2;2;1;2;1;8;3;2;2;8;1;8;5;1;3;1;1;3;2;2;3;6;1;4;3;1;8;1;1;2;2;1;2;2;,638218384676923
40;3;1;1;75;4;1059;3;5;4;5;3;3;2;3;1;3;2;8;1;1;2;2;4;8;9;8;9;8;3;2;7;2;2;2;2;2;1;7;4;1;2;12;4;12;7;6;3;2;3;2;2;2;2;3;2;4;2;2;7;2;2;2;5;2;1;2;,638218384676923
41;3;1;2;36;2;1059;3;1;4;4;2;1;2;3;2;3;2;10;2;2;2;2;2;10;10;10;10;10;3;2;10;2;2;4;1;3;1;8;3;1;2;10;1;10;2;2;1;1;1;3;1;1;2;5;1;3;2;1;8;1;1;1;5;2;2;2;,638218384676923
42;3;1;1;76;4;1059;3;5;5;2;3;3;2;3;1;3;2;7;2;2;3;2;4;10;8;9;8;7;4;2;7;2;2;2;2;2;1;7;4;2;2;12;4;12;7;6;3;2;2;2;1;1;3;6;2;4;3;2;7;2;2;2;5;2;1;2;,638218384676923
43;3;1;2;65;4;1059;3;5;5;2;1;1;1;4;1;2;1;8;1;1;2;2;4;10;9;9;1;10;3;4;7;2;2;1;2;2;1;9;3;1;2;12;4;12;7;6;1;1;1;3;1;2;1;6;1;4;3;1;8;1;1;1;5;3;2;2;,638218384676923
44;3;1;1;47;3;1059;3;1;5;3;3;1;1;2;1;1;2;10;1;2;2;2;1;10;10;10;8;6;3;2;7;3;3;2;1;4;1;4;4;1;3;9;1;0;1;3;1;1;1;3;1;1;4;1;1;4;5;1;6;2;2;3;1;1;1;2;,638218384676923
45;3;1;2;53;3;1059;3;1;4;2;4;3;2;2;2;1;2;8;2;2;3;2;2;9;9;9;9;8;2;2;8;2;2;2;2;2;1;9;4;1;2;8;1;6;2;2;2;1;2;2;2;2;2;3;2;4;3;2;7;1;1;1;1;2;2;2;,638218384676923
46;3;1;1;49;3;1059;3;1;5;3;2;2;2;2;1;2;2;8;2;3;2;2;4;8;10;9;8;6;3;2;5;3;3;3;1;3;2;6;3;2;3;7;3;6;2;2;3;3;3;3;1;1;3;1;2;3;3;1;6;1;1;1;5;2;1;2;,638218384676923
